SB 1289 Measure 3. Average Abandonment Rate,,,
Reporting Period,County Name,Average Abandonment Rate,Footnotes
January 2026,Alameda,0.43,[C]
January 2026,Butte,0.47,Blank
January 2026,Contra Costa,0.27,[C]
January 2026,Fresno,0.47,"[A, N]"
January 2026,Humboldt,0.42,"[C, D, G, L, N, P]"
January 2026,Kern,0.33,Blank
January 2026,Kings,0.45,Blank
January 2026,Los Angeles,0.42,"[B, D, G, L, N, P]"
January 2026,Marin,0.21,Blank
January 2026,Merced,Suppressed,Blank
January 2026,Monterey,0.39,"[N, P]"
January 2026,Napa,Blank,[E]
January 2026,Orange,0.34,"[D, N, P]"
January 2026,Placer,0.34,[N]
January 2026,Riverside,Suppressed,Blank
January 2026,Sacramento,0.31,"[B, C, N, P]"
January 2026,San Bernardino,0.3,"[B, G, N]"
January 2026,San Diego,0.05,[C]
January 2026,San Francisco,0.03,Blank
January 2026,San Joaquin,Suppressed,Blank
January 2026,San Luis Obispo,Suppressed,[C]
January 2026,San Mateo,0.39,[N]
January 2026,Santa Barbara,0.38,Blank
January 2026,Santa Clara,0.10,"[M, N, P]"
January 2026,Santa Cruz,0.25,"[B, C, G, N, P]"
January 2026,Shasta,0.29,Blank
January 2026,Solano,0.32,"[C, N, P]"
January 2026,Sonoma,0.22,"[C, N, P]"
January 2026,Stanislaus,0.32,"[B, G, L, N]"
January 2026,Sutter,0.38,"[B, N]"
January 2026,Tulare,0.51,"[C, N]"
January 2026,Ventura,0.29,"[C, N, P]"
January 2026,Yolo,0.22,"[C, D, N]"
January 2026,Yuba,0.54,Blank
February 2026,Alameda,0.43,[C]
February 2026,Butte,0.44,Blank
February 2026,Contra Costa,0.26,[C]
February 2026,Fresno,0.47,"[A, N]"
February 2026,Humboldt,0.41,"[C, D, G, L, N, P]"
February 2026,Kern,0.33,Blank
February 2026,Kings,0.34,Blank
February 2026,Los Angeles,0.42,"[B, D, G, L, N, P]"
February 2026,Marin,0.14,Blank
February 2026,Merced,Suppressed,Blank
February 2026,Monterey,0.35,"[N, P]"
February 2026,Napa,Blank,[E]
February 2026,Orange,0.27,"[D, N, P]"
February 2026,Placer,0.28,[N]
February 2026,Riverside,Suppressed,Blank
February 2026,Sacramento,0.30,"[B, C, N, P]"
February 2026,San Bernardino,0.27,"[B, G, N]"
February 2026,San Diego,0.06,[C]
February 2026,San Francisco,0.01,Blank
February 2026,San Joaquin,Suppressed,Blank
February 2026,San Luis Obispo,Suppressed,[C]
February 2026,San Mateo,0.36,[N]
February 2026,Santa Barbara,0.38,Blank
