Reporting Period,County Name,Average Wait Time All Languages,Average Wait Time Arabic,Average Wait Time Armenian,Average Wait Time Cambodian,Average Wait Time Chinese,Average Wait Time English,Average Wait Time Farsi,Average Wait Time Filipino,Average Wait Time Hindi,Average Wait Time Hmong,Average Wait Time Japanese,Average Wait Time Korean,Average Wait Time Laotian,Average Wait Time Mien,Average Wait Time Punjabi,Average Wait Time Russian,Average Wait Time Spanish,Average Wait Time Thai,Average Wait Time Ukrainian,Average Wait Time Vietnamese,Average Wait Time Other,Footnotes
Jan-26,Alameda,0:25:24,0:30:58,,0:12:19,0:24:08,0:25:43,0:09:28,0:18:02,,,,0:20:38,,,,0:29:32,0:24:11,,,0:26:07,,"[C, D,G, K]"
Jan-26,Butte,0:41:35,,,,,0:44:00,,,,,,,,,,,0:12:35,,,,,"[D, K]"
Jan-26,Contra Costa,1:00:27,1:11:09,,,1:00:13,0:54:59,0:28:27,0:51:18,,,,1:03:33,,,,0:50:23,1:13:51,,,0:57:53,1:13:26,"[C, D,G, K]"
Jan-26,Fresno,0:38:41,0:27:18,0:35:27,,0:43:05,0:37:24,,0:06:32,,0:33:44,,,0:28:33,,,0:51:56,0:42:53,,,0:34:00,0:36:03,"[D, K, L]"
Jan-26,Humboldt,2:45:12,,,,0:17:21,2:47:04,,1:15:01,,,,,,,,,1:25:55,,,0:26:53,,"[C, D, G, K, L, N, P]"
Jan-26,Kern,1:04:55,,0:44:12,0:00:02,,1:02:41,,,,,,,,,,,1:10:02,,,,,"D, K"
Jan-26,Kings,0:22:37,0:29:35,,,,0:21:32,,,,,,,,,,0:28:03,0:25:46,,,0:01:06,,"D, K"
Jan-26,Los Angeles,0:50:59,,0:53:30,0:56:04,0:56:10,0:33:11,1:01:19,0:55:17,,,,0:58:09,,,,1:04:03,0:35:09,,,0:54:17,,"[B, D, G, K, L, P]"
Jan-26,Marin,0:14:52,,,,0:02:17,0:14:37,,,,,,,,,,,0:15:34,,,,,"[D, K]"
Jan-26,Merced,0:03:54,,,,,0:03:45,,,,,,,,,,,0:04:08,,,,,"[D, K]"
Jan-26,Monterey,1:09:29,,,,0:34:21,1:08:53,0:00:11,,,,,,,,,0:43:57,1:10:16,,,,,"[D, G, K, L]"
Jan-26,Napa,0:05:48,,,,,0:05:51,,,,,,,,,,,0:05:41,,,,,"[C, D, G, P]"
