,SB 1289 Measure 1. Total Call Volume,,,,
Reporting Period,County Name,Number of Calls Received During Working Hours,Number of Calls Received After Working Hours,Total Number of Calls Received,Footnotes
Jan-26,Alameda,"54,960","3,658","58,618",[C]
Jan-26,Butte,"12,545","1,004","13,549",[C]
Jan-26,Contra Costa,"74,205","10,089","84,294","[C, O]"
Jan-26,Fresno,"88,179","26,237","114,416",Blank
Jan-26,Humboldt,"9,373",848,"10,221","[C, G, L, N, P]"
Jan-26,Kern,"64,431","8,140","72,571",[C]
Jan-26,Kings,"12,225","1,791","14,016",[C]
Jan-26,Los Angeles,"181,180",Blank,"181,180","[B, G, L, P]"
Jan-26,Marin,"5,157","1,628","6,785",[C]
Jan-26,Merced,56,0,56,[Q]
Jan-26,Monterey,"26,331","3,648","29,979",[C]
Jan-26,Napa,"4,906",0,"4,906","[C, D, G, P]"
Jan-26,Orange,"161,997","11,575","173,572",[C]
Jan-26,Placer,"16,799","1,121","17,920",[C]
Jan-26,Riverside,178,0,178,[Q]
Jan-26,Sacramento,"141,541","19,785","161,326",[C]
Jan-26,San Bernardino,"157,140","10,239","167,379",[C]
Jan-26,San Diego,"183,736","14,618","198,354",[C]
Jan-26,San Francisco,"53,028","4,585","57,613",[C]
Jan-26,San Joaquin,81,0,81,[Q]
Jan-26,San Luis Obispo,"3,583",203,"3,786",[C]
Jan-26,San Mateo,"28,624","2,350","30,974",[C]
Jan-26,Santa Barbara,"29,494","3,684","33,178",[C]
Jan-26,Santa Clara,"65,106","6,869","71,975",[D]
Jan-26,Santa Cruz,"15,110","2,135","17,245","[C, G, P]"
Jan-26,Shasta,"12,534","2,793","15,327","[C, G, P]"
Jan-26,Solano,"21,967","1,525","23,492","[C, G, L]"
Jan-26,Sonoma,"19,093","5,661","24,754",[C]
Jan-26,Stanislaus,"37,437","3,079","40,516",[C]
Jan-26,Sutter,"7,562",620,"8,182",[B]
Jan-26,Tulare,"45,551","7,587","53,138","[C, G, P]"
Jan-26,Ventura,"46,102","3,915","50,017",[C]
Jan-26,Yolo,"10,589","1,274","11,863",[C]
Jan-26,Yuba,"7,411",354,"7,765",[C]
Feb-26,Alameda,"42,612","4,652","47,264",[C]
Feb-26,Butte,"10,309",810,"11,119",[C]
Feb-26,Contra Costa,"61,653","8,173","69,826","[C, O]"
Feb-26,Fresno,"75,700","23,567","99,267",Blank
Feb-26,Humboldt,"8,130",966,"9,096","[C, G, L, N, P]"
Feb-26,Kern,"57,763","7,288","65,051",[C]
Feb-26,Kings,"9,662","1,352","11,014",[C]
Feb-26,Los Angeles,"164,048",Blank,"164,048","[B, G, L, P]"
Feb-26,Marin,"4,488","1,493","5,981",[C]
Feb-26,Merced,41,0,41,[Q]
Feb-26,Monterey,"20,202","2,813","23,015",[C]
Feb-26,Napa,"4,301",0,"4,301","[C, D, G, P]"
Feb-26,Orange,"145,138","15,286","160,424",[C]
Feb-26,Placer,"12,878","1,934","14,812",[C]
Feb-26,Riverside,143,0,143,[Q]
Feb-26,Sacramento,"116,317","21,741","138,058",[C]
Feb-26,San Bernardino,"136,625","9,380","146,005",[C]
Feb-26,San Diego,"172,155","9,507","181,662",[C]
Feb-26,San Francisco,"44,425","3,839","48,264",[C]
Feb-26,San Joaquin,62,0,62,[Q]
Feb-26,San Luis Obispo,"3,504",357,"3,861",[C]
Feb-26,San Mateo,"26,088","2,426","28,514",[C]
Feb-26,Santa Barbara,"25,573","3,132","28,705",[C]
Feb-26,Santa Clara,"56,577","5,919","62,496",[D]
Feb-26,Santa Cruz,"13,298","1,830","15,128","[C, G, P]"
Feb-26,Shasta,"10,355","2,591","12,946","[C, G, P]"
Feb-26,Solano,"16,840","1,874","18,714","[C, G, L]"
Feb-26,Sonoma,"19,588","5,331","24,919",[C]
Feb-26,Stanislaus,"31,489","2,438","33,927",[C]
Feb-26,Sutter,"6,394",555,"6,949",[B]
Feb-26,Tulare,"36,610","6,010","42,620","[C, G, P]"
Feb-26,Ventura,"37,620","3,259","40,879",[C]
Feb-26,Yolo,"9,195","1,049","10,244",[C]
Feb-26,Yuba,"5,618",272,"5,890",[C]
Mar-26,Alameda,"48,933","2,716","51,649",[C]
Mar-26,Butte,"10,254","1,118","11,372",[C]
Mar-26,Contra Costa,"67,228","8,670","75,898","[C, O]"
Mar-26,Fresno,"77,715","25,461","103,176",Blank
Mar-26,Humboldt,"8,545",936,"9,481","[C, G, L, N, P]"
Mar-26,Kern,"63,321","6,826","70,147",[C]
Mar-26,Kings,"10,001","1,083","11,084",[C]
Mar-26,Los Angeles,"181,607",Blank,"181,607","[B, G, L, P]"
Mar-26,Marin,"5,037","1,711","6,748",[C]
Mar-26,Merced,28,0,28,[Q]
Mar-26,Monterey,"22,841","4,289","27,130",[C]
Mar-26,Napa,"4,492",0,"4,492","[C, D, G, P]"
Mar-26,Orange,"155,537","10,149","165,686",[C]
Mar-26,Placer,"14,853",787,"15,640",[C]
Mar-26,Riverside,125,0,125,[Q]
Mar-26,Sacramento,"128,453","21,690","150,143",[C]
Mar-26,San Bernardino,"154,868","7,827","162,695",[C]
Mar-26,San Diego,"182,364","14,467","196,831",[C]
Mar-26,San Francisco,"48,341","3,218","51,559",[C]
Mar-26,San Joaquin,54,0,54,[Q]
Mar-26,San Luis Obispo,"3,703",159,"3,862",[C]
